A,B,A',B',A'B,AB,AB',A'B',HWP A,HWP B,E,Comments:,Duration (s),Sub. Acc.?
82987.20,0.00,0.00,71808.20,0.00,0.00,2862.41,0.00,0.00,0.00,-1.00,sub acc,10.0,N
57062.90,0.00,0.00,41415.10,0.00,0.00,1481.57,0.00,45.00,45.00,-1.00,sub acc,10.0,N
17327.90,0.00,0.00,16973.60,0.00,0.00,762.36,0.00,90.00,90.00,-1.00,sub acc,10.0,N
83014.90,0.00,0.00,17049.70,0.00,0.00,27.15,0.00,0.00,90.00,-1.00,with halfwave angle of B at 45 and subtracted acc,10.0,N
